country_name,year,life_ladder,social_support,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Gabon,2021,5.075,0.754,0.699,-0.207,0.766
Gabon,2022,5.14,0.775,0.699,-0.167,0.803
Gabon,2023,5.104,0.735,0.722,-0.16,0.822
Georgia,2015,4.122,0.517,0.64,-0.21,0.502
Georgia,2016,4.448,0.533,0.606,-0.255,0.561
Georgia,2017,4.451,0.59,0.821,-0.25,0.59
Georgia,2018,4.659,0.617,0.775,-0.238,0.755
Georgia,2019,4.892,0.675,0.811,-0.265,0.647
Georgia,2020,5.123,0.718,0.764,-0.225,0.583
Georgia,2021,4.911,0.671,0.777,-0.29,0.723
Georgia,2022,5.293,0.754,0.821,-0.255,0.655
Georgia,2023,5.351,0.779,0.877,-0.268,0.706
Germany,2015,7.037,0.926,0.889,0.172,0.412
Germany,2016,6.874,0.906,0.871,0.142,0.446
Germany,2017,7.074,0.892,0.841,0.139,0.414
Germany,2018,7.118,0.92,0.877,0.028,0.496
Germany,2019,7.035,0.886,0.885,0.051,0.462
Germany,2020,7.312,0.905,0.864,-0.068,0.424
Germany,2021,6.755,0.868,0.778,0.074,0.418
Germany,2022,6.608,0.916,0.895,0.08,0.417
Germany,2023,6.792,0.895,0.845,0.106,0.46
Ghana,2015,3.986,0.687,0.852,-0.043,0.945
Ghana,2016,4.514,0.647,0.751,0.085,0.894
Ghana,2017,5.481,0.669,0.783,0.074,0.839
Ghana,2018,5.004,0.761,0.817,0.058,0.846
Ghana,2019,4.967,0.746,0.787,0.111,0.857
Ghana,2020,5.319,0.643,0.824,0.196,0.847
Ghana,2021,4.378,0.633,0.73,0.105,0.888
Ghana,2022,4.191,0.628,0.786,0.114,0.909
Ghana,2023,4.298,0.661,0.834,0.093,0.892
Greece,2015,5.623,0.835,0.532,-0.277,0.824
Greece,2016,5.303,0.803,0.482,-0.265,0.898
Greece,2017,5.148,0.753,0.438,-0.295,0.872
Greece,2018,5.409,0.794,0.564,-0.34,0.86
Greece,2019,5.952,0.891,0.614,-0.293,0.848
Greece,2020,5.788,0.779,0.565,-0.246,0.764
Greece,2021,6.104,0.85,0.574,-0.161,0.752
Greece,2022,5.9,0.875,0.563,-0.318,0.874
Greece,2023,5.796,0.818,0.589,-0.223,0.805
Guatemala,2015,6.465,0.823,0.869,0.046,0.822
Guatemala,2016,6.359,0.811,0.863,0.006,0.812
Guatemala,2017,6.325,0.826,0.915,-0.064,0.8
Guatemala,2018,6.627,0.841,0.91,-0.016,0.765
Guatemala,2019,6.262,0.774,0.901,-0.068,0.773
Guatemala,2022,6.15,0.806,0.856,-0.06,0.835
Guatemala,2023,6.421,0.796,0.873,-0.049,0.812
Guinea,2015,3.505,0.579,0.666,0.003,0.762
Guinea,2016,3.603,0.675,0.726,-0.06,0.803
Guinea,2017,4.874,0.634,0.738,0.034,0.75
Guinea,2018,5.252,0.63,0.731,0.088,0.778
Guinea,2019,4.768,0.655,0.691,0.092,0.756
Guinea,2020,4.972,0.732,0.598,0.075,0.79
Guinea,2021,4.945,0.627,0.676,0.157,0.784
Guinea,2022,5.317,0.582,0.729,0.136,0.77
Guinea,2023,4.827,0.577,0.743,0.187,0.791
Honduras,2015,4.845,0.772,0.534,-0.101,0.848
Honduras,2016,5.648,0.774,0.85,0.076,0.793
Honduras,2017,6.02,0.843,0.898,0.068,0.783
Honduras,2018,5.908,0.827,0.872,0.095,0.804
Honduras,2019,5.93,0.797,0.846,0.059,0.815
Honduras,2021,6.114,0.806,0.835,0.111,0.847
Honduras,2022,5.932,0.729,0.851,0.078,0.834
Honduras,2023,5.861,0.731,0.878,0.079,0.784
Hungary,2015,5.344,0.859,0.558,-0.204,0.908
Hungary,2016,5.449,0.9,0.554,-0.193,0.924
Hungary,2017,6.065,0.877,0.661,-0.145,0.886
Hungary,2018,5.936,0.941,0.693,-0.249,0.911
Hungary,2019,6.0,0.947,0.798,-0.201,0.884
Hungary,2020,6.038,0.943,0.771,-0.127,0.836
Hungary,2021,6.227,0.948,0.727,-0.046,0.832
Hungary,2022,5.861,0.937,0.776,-0.009,0.848
Hungary,2023,5.965,0.954,0.755,-0.002,0.847
Iceland,2015,7.498,0.98,0.94,0.294,0.639
Iceland,2016,7.51,0.985,0.952,0.274,0.719
Iceland,2017,7.476,0.967,0.939,0.24,0.727
Iceland,2019,7.533,0.982,0.959,0.24828571428571428,0.699
Iceland,2020,7.575,0.983,0.949,0.152,0.644
Iceland,2021,7.565,0.98,0.923,0.257,0.664
Iceland,2022,7.449,0.985,0.936,0.222,0.692
Iceland,2023,7.562,0.979,0.918,0.299,0.697
India,2015,4.342,0.61,0.777,-0.01,0.776
India,2016,4.179,0.614,0.82,0.041,0.765
India,2017,4.046,0.607,0.886,-0.046,0.781
India,2018,3.818,0.638,0.89,0.08,0.805
India,2019,3.249,0.561,0.876,0.108,0.752
India,2020,4.224,0.616,0.906,0.068,0.78
India,2021,3.558,0.57,0.866,0.052,0.757
India,2022,3.93,0.608,0.893,0.085,0.771
India,2023,4.676,0.633,0.9,0.121,0.77
Indonesia,2015,5.043,0.809,0.779,0.466,0.946
Indonesia,2016,5.136,0.792,0.83,0.494,0.89
Indonesia,2017,5.098,0.796,0.865,0.482,0.9
Indonesia,2018,5.34,0.809,0.879,0.506,0.868
Indonesia,2019,5.347,0.802,0.866,0.549,0.861
Indonesia,2020,4.828,0.751,0.853,0.529,0.914
Indonesia,2021,5.433,0.817,0.885,0.54,0.845
Indonesia,2022,5.585,0.834,0.903,0.516,0.862
Indonesia,2023,5.695,0.781,0.9,0.59,0.866
Iran,2015,4.75,0.572,0.78,0.164,0.699
Iran,2016,4.653,0.566,0.773,0.176,0.713
Iran,2017,4.717,0.714,0.731,0.21,0.715
Iran,2018,4.278,0.674,0.603,0.073,0.703
Iran,2019,5.006,0.698,0.623,0.128,0.728
Iran,2020,4.865,0.757,0.6,0.13,0.71
Iran,2021,4.788,0.771,0.609,0.172,0.761
Iran,2022,4.977,0.8,0.57,0.209,0.766
Iran,2023,5.004,0.809,0.615,0.254,0.764
Iraq,2015,4.493,0.684,0.599,0.021,0.762
Iraq,2016,4.413,0.719,0.666,-0.05,0.799
Iraq,2017,4.462,0.695,0.628,0.001,0.757
Iraq,2018,4.886,0.764,0.598,-0.069,0.887
Iraq,2020,4.785,0.708,0.7,-0.021,0.849
Iraq,2021,5.094,0.73,0.594,0.006,0.901
Iraq,2022,4.928,0.753,0.661,0.068,0.855
Iraq,2023,5.475,0.734,0.658,-0.017,0.851
Ireland,2015,6.83,0.953,0.892,0.226,0.409
Ireland,2016,7.041,0.958,0.875,0.169,0.399
Ireland,2017,7.06,0.943,0.905,0.21,0.337
Ireland,2018,6.962,0.938,0.861,0.138,0.362
Ireland,2019,7.255,0.944,0.892,0.067,0.373
Ireland,2020,7.035,0.96,0.882,0.0,0.356
Ireland,2021,6.828,0.85,0.846,0.131,0.36
Ireland,2022,6.87,0.906,0.895,0.138,0.358
Ireland,2023,6.817,0.921,0.903,0.182,0.373
Israel,2015,7.079,0.864,0.753,0.103,0.789
Israel,2016,7.159,0.89,0.772,0.147,0.804
Israel,2017,7.331,0.916,0.768,0.138,0.793
Israel,2018,6.927,0.91,0.725,0.048,0.77
Israel,2019,7.332,0.946,0.834,0.078,0.743
Israel,2020,7.195,0.959,0.831,-0.059,0.748
Israel,2021,7.578,0.917,0.82,-0.008,0.726
Israel,2022,7.662,0.954,0.775,-0.007,0.655
Israel,2023,6.783,0.952,0.797,0.146,0.636
Italy,2015,5.848,0.909,0.575,-0.07,0.913
Italy,2016,5.955,0.927,0.624,-0.086,0.903
Italy,2017,6.199,0.92,0.633,-0.041,0.867
Italy,2018,6.517,0.913,0.65,-0.027,0.888
Italy,2019,6.445,0.838,0.709,-0.088,0.866
Italy,2020,6.488,0.89,0.718,-0.157,0.844
Italy,2021,6.467,0.886,0.703,-0.096,0.862
Italy,2022,6.258,0.869,0.711,0.026,0.819
Italy,2023,6.245,0.851,0.699,-0.053,0.819
